Name of Organizatio}BN,Category,Geography Served,Location of Organization,Website,Type of Organization,Service(s)/About,Special Requirements,Who Can Request,How to Request,Contact Email,Contact Phone,Details/Description,Notes
,"For consideration for inclusion in this list, request edits, or if you have any questions, please contact info@thecasaproject.org",,,,,,,,,,,,
,"TO SEARCH BY KEYWORD, USE CTRL+F",,,,,,,,,,,,
4Others Inc.,Personal Hygiene,Worcester County,"Holden, MA",4OthersInc | Holden MA | Facebook,Nonprofit,4OthersInc is a 501(c)3 that collects personal hygiene products and NEW underwear and socks for distribution in Central Mass. ,N/A,Anyone in need or on behalf of those in need. ,,4othersinc@gmail.com  Tel. 508-829-7288,,"4Others Inc. is always looking for community partners to donate new personal hygiene products, socks and underwear to add to their inventory.",See next cell for link to their Amazon Wishlist:
Abby's House,Domestic Violence Support Shelter,"Worcester, MA","52 High Street, Worcester MA 01609","Shelter, Housing, and Advocacy for Women and Children - Abby's House (abbyshouse.org)",Nonprofit/Community Resource,"Shelter, affordable housing, advocacy, and support for homeless, battered, and low-income women.",,"Provide shelter and affordable housing, as well as advocacy and support services, to homeless, battered, and low-income women, with or without children.",,,Phone: 508-756-5486 Fax: 798-3299,,
All Our Kids - AOK - Child Fostering Resources in Mass.,Foster Care Resources,Western Massachusetts,"6 Open Square Way,                       Holyoke, MA 01040",All Our Kids - Child Fostering Resources in Massachusetts,Nonprofit/Community Resource,"All Our Kids, Inc. empowers Western Massachusetts foster and adoptive families to thrive by enriching community connectedness, providing education and resources, and helping the public understand and support our experience.",N/A,"We are a community of foster/adoptive families, for foster adoptive/families. If you're looking for specific information or support and aren't finding it on our site, just let us know! Join AOK Connect, our private facebook group, to get real-time information and resources from local members, give us a call at 413-530-1422, or fill out the form below and someone will be in touch within 24 hours.",Contact Us - All Our Kids,info@fosteringAOK.org,413-486-0560,"A community actively invested in our most vulnerable young citizens, where children in foster care have their short-term and long-term needs met by strong, capable, and supported families.",
Andy's Attic ,Clothing,"Worcester, MA",Back of South High School 170 Apricot St. Worcester MA 01603,"Andy's Attic - Non Profit Organization, Worcester, Community Service (andysattic.org)",Nonprofit,Our mission is to provide comfortable clothing to individuals so that they can advance in their daily lives. ,Online Application Process (They do close for the summer from the end of May to the beginning of September when school is out.),ALL orders must be from the person requesting the clothes or a licensed counselor or coalition.ALL orders must be picked up 7 days when completed. ,https://andysattic.org/clothing-request-form,"Please complete the form by making a copy and e-mailing the form to contact@andysattic.org or fax the document to (508) 799-8242.
​",,Provides an important volunteer opportunity for Worcester South High students to participate in!,"With the hard work and dedication of South High Students and charitable donations, we were able to provide new socks, new undergarments, gently used clothing and even new sneakers to teenagers and their families. Each day our students come to Andy's Attic during their free periods and after school to volunteer their time. Students sort and put donations on shelves, fill orders, write thank you cards, track orders that have been sent out, write letters to organizations for donations, and make phone calls to organizations to let them know their orders are ready for pick up."
Barney's Bicycles,Bicycles,"Worcester, MA","582 Park Ave., Worcester MA 01609",Barney's Bicycle (barneysbicycle.com),,We have used bikes that we would consider donating. If you are interested a phone call is best. ,,On behalf of a youth/child.,Please call 508-799-2543,barneys@e-barneys.com,Please call 508-799-2543,,CASA received email from Peter at Barney's in June 2024 offering used bikes upon request to youth/children in need. 
Big Brothers Big Sisters,Youth Mentoring ,Central MA & Metrowest MA,,bbbscm.org,Nonprofit,,,,,,,,
BIPOC Network Group,Supporting Professionals of Black Indigenous People Of Color,Massachusetts,Central Massachusetts,https://bipocnetworkgroup.org/ourmission,Nonprofit/Community Resource,"Professionals of Black Indigenous People Of Color come together to Share, Support, Collaborate, and Connect resources that benefit the enhancement of each other's profession and our community.","Contact Daniel Alicia, BIPOC Network Group Ambassador",Services 3 — BIPOC Network Group,Contact — BIPOC Network Group,DanielAlicea@movimientocounselingservices.com,n/a,Services 3 — BIPOC Network Group,
Bonfolk Sock Donations,Socks,"New Orleans, LA",,Bonfolk Giving Good,Nonprofit,Provides new sock donations for other nonporfit organizations,For future sock requests please submit them here: https://forms.gle/9uX6bTTTJ8miSU9b6,Other nonprofit organizations,,Bonfolk Giving Good   For future sock requests please submit them here: https://forms.gle/9uX6bTTTJ8miSU9b6,,For future sock requests please submit them here: https://forms.gle/9uX6bTTTJ8miSU9b6,
