id,name,about,servicesOffered,additionalInfo,organizationType,website,amazonWishlistUrl,addressLine1,addressLine2,city,state,zipCode,contactEmail,contactPhone,contactFax,contactVP,contactForm,contactCrisis,contactCrisisHours,serviceDomains,accessMethods,populationsServed,eligibilityConstraints,geographicCoverage,geographicRegions,geographicCounties,geographicCities,geographicOffices,statewide,crisisServices,transportationProvided,spanishSpeaking,interpretationAvailable,logoURL
eZWcToKpIVGCeLExT0yu,Everyday Miracles,Peer Recovery Support Center for Substance Use and Addiction Support,"Recovery is possible! Walk in, call or visit website for Recovery Support by Peers and professionals.","Adults | There are many different types of drug detox centers. Specialty services will be listed alongside each drug detox. Some important specialty characteristics to take note of include dual diagnosis, pregnancy detox care, adolescent detox, LGBTQ sensitive, legal referral programs, spanish speaking programs, and detoxes that specialize in co-occurring health issues such as HIV/AIDS. The best fit will depend mostly on what one’s particular needs may be. | Call 774-670-4428 or visit website www.everydaymiraclesprsc.com",Nonprofit Organization,https://www.everydaymiraclesprsc.org/,,25 Pleasant Street,,Worcester,MA,01609,everydaymiracles@spectrumhealthsystems.org,(508) 799-6221,,,,,,Substance Use & Recovery,Walk-in; Online request; Phone request,Adults; Families,,County-wide,,Worcester,,,,No,No,Yes,No,https://www.everydaymiraclesprsc.org/wp-content/uploads/2024/06/Everyday-Miracles_tag-1024x191.png
9CpBLoh8j6FV6VarorIX,Advocates (formerly Family Continuity),"Public safety partnership focusing on reducing unnecessary and harmful use of secure detention for low-risk juveniles. Our mission is to safely support youth in the Commonwealth, in their communities, with proper supervision, so that we may reduce the percentage of youth held in detention while their court cases are pending.","Mental Health: Addiction Recovery, Care Management, Community Behavioral Health Center, Counseling & Psychiatry, Deaf Services, Mental Health Services, Mobile Crisis Intervention, NeuroStar Therapy, Open Dialogue, Peer Support, Pharmacy Services, Residential Services, Youth & Family Counseling; Developmental: Adult Family Care, Day & Employment Services, Developmental Services, Independent Living, Person-Centered Services, Prader-Willi Syndrome Services, Shared Living; Brain Injury: Brain Injury Services; Family Support: Elder Services, Family & Caregiver Services, Family Support Centers, Respite Options; Autism Support: Autism Day Services, Autism Services, Children's ABA Services; Addiction Recovery & Community Justice: Community Justice, Jail Diversion Services",Referral Process,Nonprofit Organization,https://advocates.org/,,29 East Mountain Street,,Worcester,MA,01606,,(508) 628-6300,(508) 628-6301,(508) 578-2658,https://advocates.org/contact,1-800-640-5432,24/7,Healthcare & mental health; Substance use & recovery; Disability & accessibility support,Phone Request,Young children; Adolescents; Adults; Families; Individuals with disabilities,,Statewide,,,,Framingham; Harvard; Lawrence; Marlborough; Peabody; Plymouth; Waltham; Whitinsville; Worcester,,Yes,No,Yes,Yes,https://advocates.org/themes/custom/advocates/logo.svg
nN8Tb94witl1ABDpU4o0,Clinical & Support Options (CSO),"Nonprofit community behavioral health agency serving Western MA and North Quabbin. Founded 1954 as Franklin County Mental Health Association. Trauma-informed agency providing comprehensive, holistic care. Serves 18,000+ individuals and families annually across 5 counties. ""Open Access"" model with walk-in availability and ""No Wrong Door"" coordinated entry.","Crisis & Emergency Services (24/7/365): Mobile crisis intervention, assessment, stabilization, Community Crisis Stabilization residences; Outpatient Mental Health: Therapy for children/adolescents/adults, diagnostic evaluations, psychiatry, medication management, sexual abuse/trauma treatment, depression/anxiety/PTSD treatment, group therapy, intensive outpatient programs; Family Support Programs: In-home therapy, therapeutic mentoring, Family Resource Centers, Intensive Care Coordination (ICC); Substance Use: Structured outpatient addiction programs; Community-Based Programs: All Stars youth program, STOPLIFT; Shelter, Housing & Homelessness: Friends of the Homeless (FOH)",,Nonprofit Organization,https://csoinc.org,,8 Atwood Drive,Suite 301,Northampton,MA,01060,Summer.HaggertyMeeker@csoinc.org,(413) 773-1314,,,,1-800-562-0112,24/7,Healthcare & mental health; Substance use & recovery,Walk-in; Phone request; Emergency / crisis access,Young children; Adolescents; Adults; Families,,Regional,Western Mass,,,Northampton (HQ); Springfield; Amherst; Greenfield; Athol; Pittsfield; Gardner,,Yes,No,Yes,No,https://images.squarespace-cdn.com/content/v1/5a2183d8d55b41e4a8ddc5c1/1564084080448-9X6CYKX942VY91V4S59C/clinical-and-support-options-cso.png
Pf4WUkM8rxxeKpLvzDr3,"Field of Dreams therapy Farm, LLC","Equine-assisted therapy practice working with rescued horses. Founded by Laurie Drazek, LCSW, MSW, M.Ed. (Boston College 2001). Farm opened 2021 on 21-acre property. Works with rescued horses that have experienced trauma to help humans dealing with similar issues. ""Every person has a story, every horse has a story.""","One-on-one equine-assisted therapy; Treatment for anxiety, depression, grief, trauma, life transitions/life skills; Group programs for individuals with disabilities (partnership with Seven Hills Foundation); Farmwork activities",Private residence - appointments only. Located off Route 122 on the Paxton/Rutland line. Horses are highly empathetic and sense trauma/anxiety in humans.,Community-Based Organization,https://www.fieldofdreamsfarm.org/,,46A Brooks Road,,Paxton,MA,01612,,(774) 696-3203,,,,,,Healthcare & Mental Health,Agency Referral Only; Appointment Required,Young children; Adolescents; Transition-age youth; Adults; Individuals with disabilities,,County-wide,,Worcester,,,,No,No,No,No,https://lh3.googleusercontent.com/sitesv/AAzXCkcHKMSmZdWkcMUV4R1l1aTWVlz3a9QE5OGtoZudAvh94yWRED09kHpMnyzWeWC_M1SMYXL-CfaD9GIqQWCasWblqXrwW8sp6cAbNhg6gU8KxUvA2bK6XjpSnpuAD7SjN7CvJyj1zZCWcwaXp2_fsCiOe_Mf0_pcU6DAy3GfqCRJUfGsWWff6NMc2FA=w16383
eiclDzqwIEx88kqzFTtO,Foster Care Essentials,"Founded February 2022 by Sharon Bryant (former foster child) and Melissa Mercon Smith. Provides essentials at no charge to foster and kinship care families in Central Massachusetts. Motto: ""If we have it, you can have it. If we don't have it, we'll get it.""",Free clothing; Toys; Baby gear; Sports gear; Diapers; Backpacks; School supplies; Personal hygiene products; Summer Footwear Gift Card Giveaway; Fill-A-Backpack Event (back to school),Open every other Saturday for families to stop by. Can also schedule appointment to visit location. Events held throughout the year. Bio children in the home are included at events.,Nonprofit Organization,https://www.fostercareessentials.com,,Hopedale Union Evangelical Church,25 Dutcher Street,Hopedale,MA,01747,fostercareessentials@gmail.com,(774) 248-4139,,,https://www.fostercareessentials.com/contact-us,,,Clothing & basic needs,Self-Referral,Young children; Families; Foster / Kinship Families,,Regional,Central Mass,,,,,No,No,No,No,https://images.squarespace-cdn.com/content/v1/669beecafce79d4f8c0fcd26/149d73af-ad43-473f-888b-1517805bb0f4/Sharon+logo+transparent+background.png
XQfWzYHwbwRzdW1YS1nA,"Fostering Change, Inc.",We provide foster kids the resources to succeed and the experiences of being a kid.,"Sponsors various gift, clothing, and needs events throughout the year in the Leominster area.",,Nonprofit Organization,https://www.facebook.com/FosteringChangeMA/,,,,Leominster,MA,,fosteringchangema@gmail.com,(978) 987-1333,,,,,,Clothing & basic needs,Self-Referral,Young children; Adolescents; Foster / kinship families,,Regional,Central Mass,,,,,Yes,No,Yes,Yes,
DVdHuf7lntI7GdBZ20DE,Family Resource Center,"Statewide network of community-based centers helping families resolve challenges, strengthen bonds, connect to services, and engage in communities. FRCs serve families with children ages 0-18.","Family Support: Parent education, Support groups, Crisis response; Education: School services, GED assistance, Special education resources, ESL; Healthcare & Mental Health: Mental health referrals, Substance use support; Basic Needs: Child care referrals, Housing assistance, Financial literacy; Legal: Juvenile court services; Career: Employment assistance; Community: Civic engagement, LGBTQ+ support, Peer support",33 locations across all 14 MA counties - see frcma.org/locations for nearest center. Services are free. Interpretation available in 140+ languages via Mass 2-1-1. Funded by MA EOHHS and DCF. Administered by ForHealth Consulting at UMass Chan Medical School. Established 2012 via Chapter 240 (FACES Act).,Government Agency,https://www.frcma.org/,,,,,,,,,,,,211,24/7,Parenting & family support; Healthcare & mental health; Education & youth programs,Self-referral; Phone request,Young children; Adolescents; Adults; Families,,Statewide,,,,Amherst; Athol; Attleboro; Boston; Brockton; Chelsea; Everett; Fall River; Fitchburg; Framingham; Gardner; Great Barrington; Greenfield; Holyoke; Hyannis; Lawrence; Lowell; Lynn; Nantucket; New Bedford; North Adams; Oak Bluffs; Pittsfield; Plymouth; Quincy; Salem; Southbridge; Springfield; Taunton; Ware; Westfield; Worcester,,Yes,No,No,No,https://www.frcma.org/
FfwTd7IVwWQlhICU8AEB,"Girls, Inc. of Worcester","Girls Inc. of Worcester offers in-person programming for girls in grades K–12 that supports social-emotional learning, education, and positive peer and adult relationships. It can be a stabilizing community resource for girls who benefit from structured, gender-responsive support outside the home.","Youth Development: After-school programs, Summer programs, School-based programs; STEM: Science, technology, engineering, math education; Life Skills: Economic literacy, Media literacy, Health and fitness; Prevention: Sexual health education, Violence prevention, Drug abuse prevention; Recreation: Swim lessons, Basketball, Sports",,Nonprofit Organization,https://girlsincworcester.org,,125 Providence St,,Worcester,MA,01604,info@girlsincworcester.org,(508) 755-6455,,,,,,Education & youth programs,Phone Request,Young children; Adolescents,,County-wide,,Worcester,,,,No,No,No,No,https://www.girlsincworcester.org/sites/all/themes/daedalo5/images/spacer.gif
DJNSwn1Q6Cc5nQIUJqed,Griptape,"We give youth who are seeking access to resources and opportunities the support, respect, and authority to pursue learning in their own way.",Education: Self-directed 10-week learning projects; Financial: Up to $500 funding for youth projects; Mentorship: Champion mentor support,"GripTape is a 501(c)(3) nonprofit that offers young people ages 14–19 total control to design a 10-week learning experience, funding to pursue this learning, and a Champion to support them. | If you’re 14–19, have an interest or passion you want to pursue, and need resources to do it, apply for the GripTape Learning Challenge. | Online Form",Nonprofit Organization,https://www.griptape.org/,,,,,,,info@griptape.org,,,,,,,Education & youth programs; Financial assistance,Online Request,Adolescents; Transition-age youth,Age Restrictions,Nationwide,,,,,,No,No,No,No,https://www.griptape.org/
KyHKrQ1TBnA4Xu3VtXnu,The Grow School (SWCEC),"DESE-approved public therapeutic day school serving students grades K-12 with communication, developmental, emotional, health, intellectual, neurological, or specific learning disabilities. Part of Southern Worcester County Educational Collaborative (SWCEC).","Education: Therapeutic day school (K-12), Special education, Vocational training; Therapy: Counseling, Speech therapy, Occupational therapy, Physical therapy, ABA (Applied Behavior Analysis); Support: Adaptive PE, Vision services, Hearing services; Programs: RISE Academy (general ed alternative), Assessment Program, Career Development Program",180-day school year plus 25-day summer program. Students ages 3-22. Referrals through school district TEAM process. Two campuses: Elementary (Southbridge) and Middle/High (Dudley). Established 1975.,Nonprofit Organization,https://www.swcec.org/#main-page,,185 Southbridge Road,,Dudley,MA,01571,ALundwall@swcec.org,(508) 764-8500,(508) 764-2724,,https://www.swcec.org/new-page,,,Education & Youth Programs,Phone Request,Young children; Adolescents; Individuals with disabilities,,County-wide,,Worcester,,Dudley; Southbridge,,No,No,No,No,https://www.swcec.org/
